id,address,description,district,municipal,lon,lat
96,Schüttaustraße 1-39,(Goethehof),22,1,16.4184222451506,48.2311098978467
97,Sinagasse 1-19,,22,,16.4222185887141,48.2290000145043
98,Maurer Hauptplatz 5,Familie,23,1,16.2681186078201,48.1505515982717
99,Floridsdorfer Hauptstraße 25,,21,,16.3950476949009,48.2551806090348
100,,,8,1,16.3515735424556,48.2079347849527
101,,,10,1,16.3861750093016,48.1738166706982
102,,,10,1,16.3850722315216,48.173783337365
103,,,5,1,16.3594833425801,48.1949666707452
104,,,5,,16.3602055648039,48.1944694485219
105,,,4,,16.3673000092629,48.18860555962
106,,,10,,16.3776861203954,48.175427781814
107,,,10,,16.3800555648447,48.1751166707018
108,,,4,1,16.3668222314841,48.1880722262857
109,,,4,,16.36482223148,48.1888833373987
110,,,4,,16.3647444537021,48.1888972262877
111,,,10,,16.3809777870687,48.1825722262722
112,,,10,,16.3782888981744,48.1753472262582
113,,,10,1,16.3650527870362,48.1699777818051
114,,,10,1,16.3589472314681,48.1744083373706
115,,,10,,16.3618916759186,48.1763666707074
116,,,10,,16.3661000092605,48.1761083373728
117,,,10,,16.3788555648422,48.1750972262576
118,,,4,1,16.371211120382,48.1863083373925
119,,,10,,16.3790638981759,48.1768916707056
120,,,10,,16.3801361204004,48.1769722262611
121,,,10,,16.3811083426246,48.1767444484827
122,,,10,,16.3800694537336,48.1750333373684
123,,,1,,16.3772166759496,48.2111416707748
124,,,5,1,16.3640500092563,48.1847444485016
125,,,5,,16.3574166759092,48.1962083374147
126,,,10,,16.3795416759547,48.1745083373674
127,,,10,,16.3741055648324,48.186077781836
128,,,10,,16.3754611203908,48.1801333373794
129,,,10,,16.3784777870636,48.1805833373798
130,,,10,,16.3792750092875,48.1807861151578
131,,,10,,16.3792750092875,48.1807861151578
132,,,10,,16.380269453734,48.1761583373706
133,,,10,,16.3804111204009,48.1768388929275
134,,,10,,16.3807722315128,48.174202781811
135,,,10,,16.3835055648517,48.1804000040452
136,,,10,,16.3824416759606,48.1761055595923
137,,,10,,16.3786916759529,48.1795138929331
138,,,10,,16.3784500092858,48.1807388929357
139,,,4,,16.3676750092636,48.1885055596197
140,,,5,,16.3462611203309,48.1874666707323
141,,,5,,16.3485138981133,48.1878972262883
142,,,5,,16.3549388981265,48.1857527818385
143,,,6,,16.3376944536467,48.1905305596288
144,,,4,1,16.3665194537057,48.1879555596188
145,,,2,,16.3732777870526,48.2187222263463
146,,,2,,16.3765222315036,48.2199638930149
147,,,2,,16.3748888981669,48.221183337462
148,,,9,,16.349322231448,48.218097226349
149,,,9,,16.349322231448,48.218097226349
150,,,10,,16.3840222315195,48.1730500040304
151,,,22,,16.4093638982374,48.2274972263579
152,,,2,,16.373144453719,48.2172416707877
153,,,5,,16.3633166759214,48.1861111151712
154,,,5,,16.3560805647954,48.1910305596267
155,,,4,,16.3655638981481,48.1951000040778
156,,,4,,16.3658000092597,48.1970722263039
157,,,4,,16.3661055648159,48.1972527818598
158,,,4,,16.3683194537094,48.1908833374022
159,,,4,,16.3677000092637,48.1912777818475
160,,,4,,16.3684277870429,48.1946944485209
161,,,4,,16.3662916759275,48.1891194485101
162,,,4,,16.3645694537017,48.1929638929625
163,,,4,,16.3637416759222,48.1935555596306
164,,,4,,16.3655444537037,48.1938138929641
165,,,1,,16.3747055648333,48.2123472263332
166,,,1,,16.3713000092708,48.2133833374469
167,,,4,,16.3683388981539,48.1885472262864
168,,,3,,16.3871194537478,48.1962611151876
169,,,3,1,16.3894666759748,48.2001444485284
170,,,3,,16.3872222315257,48.2023055596442
171,,,3,1,16.3801083426223,48.1989972263054
172,,,10,,16.3793138981764,48.1808527818246
